Sploosh-o-matic | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/1a/S2_Weapon_Main_Sploosh-o-matic.png/64px-S2_Weapon_Main_Sploosh-o-matic.png | Shooter | Curling Bomb <:curling:451732483688497152> | Splashdown <:splashdown:451734463332876289> | 10 | 9700 | 38 | 0.8 | 170 | 12 | 52 | 75
Neo Sploosh-o-matic | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/e7/S2_Weapon_Main_Neo_Sploosh-o-matic.png/32px-S2_Weapon_Main_Neo_Sploosh-o-matic.png | Shooter | Squid Beakon <:beakon:451733111433068557> | Tenta Missiles <:missiles:451734631775993876> | 18 | 12200 | 38 | 0.8 | 170 | 12 | 52 | 75
Splattershot Jr. | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/5e/S2_Weapon_Main_Splattershot_Jr..png/64px-S2_Weapon_Main_Splattershot_Jr..png | Shooter | Splat Bomb <:splat:451732998589644800> | Ink Armour <:armour:451733645187743775> | 1 | 0 | 28 | 0.5 | 180 | 35 | 22 | 75
Custom Splattershot Jr. | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/6c/S2_Weapon_Main_Custom_Splattershot_Jr..png/32px-S2_Weapon_Main_Custom_Splattershot_Jr..png | Shooter | Autobomb <:auto:451732432740286464> | Ink Storm <:storm:451734059991826452> | 4 | 1900 | 28 | 0.5 | 180 | 35 | 22 | 75
Splash-o-matic | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/5b/S2_Weapon_Main_Splash-o-matic.png/64px-S2_Weapon_Main_Splash-o-matic.png | Shooter | Toxic Mist <:mist:451733194149199873> | Inkjet <:inkjet:451733714712657921> | 25 | 11200 | 28 | 0.8 | 170 | 42 | 22 | 75
Neo Splash-o-matic | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/0/01/S_Weapon_Main_Neo_Splash-o-matic.png/32px-S_Weapon_Main_Neo_Splash-o-matic.png | Shooter | Burst Bomb <:burst:451732329153691648> | Suction Bomb Launcher <:suctionlauncher:451734826639425536> | 27 | 16800 | 29 | 0.8 | 200 | 42 | 22 | 75
Aerospray MG | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/a/a1/S2_Weapon_Main_Aerospray_MG.png/64px-S2_Weapon_Main_Aerospray_MG.png | Shooter | Suction Bomb <:suction:451733156656316416> | Curling Bomb Launcher <451734750307287041:curlinglauncher:> | 6 | 4900 | 24 | 0.55 | 160 | 35 | 10 | 90
Aerospray RG | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/5/5e/S2_Weapon_Main_Aerospray_RG.png/32px-S2_Weapon_Main_Aerospray_RG.png | Shooter | Sprinkler <:sprinkler:451733051030896661> | Baller <:baller:451733454154104842> | 28 | 16900 | 24 | 0.55 | 170 | 35 | 10 | 90
Splattershot | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/60/S2_Weapon_Main_Splattershot.png/64px-S2_Weapon_Main_Splattershot.png | Shooter | Burst Bomb <:burst:451732329153691648> | Splashdown <:splashdown:451734463332876289> | 2 | 900 | 35 | 1 | 200 | 50 | 45 | 60
Tentatek Splattershot | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/b/b6/S2_Weapon_Main_Tentatek_Splattershot.png/32px-S2_Weapon_Main_Tentatek_Splattershot.png | Shooter | Splat Bomb <:splat:451732998589644800> | Inkjet <:inkjet:451733714712657921> | 4 | 2100 | 35 | 1 | 210 | 50 | 45 | 60
Hero Shot Replica | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/9/9c/S2_Weapon_Main_Hero_Shot_Replica.png/32px-S2_Weapon_Main_Hero_Shot_Replica.png | Shooter | Burst Bomb <:burst:451732329153691648> | Splashdown <:splashdown:451734463332876289> | 2 | 900 | 35 | 1 | 200 | 50 | 45 | 60
Octo Shot Replica | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/e6/S2_Weapon_Main_Octo_Shot_Replica.png/32px-S2_Weapon_Main_Octo_Shot_Replica.png | Shooter | Splat Bomb <:splat:451732998589644800> | Inkjet <:inkjet:451733714712657921> | 4 | 2100 | 35 | 1 | 210 | 50 | 45 | 60
.52 Gal | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/6/66/S2_Weapon_Main_.52_Gal.png/64px-S2_Weapon_Main_.52_Gal.png | Shooter | Point Sensor <:pointsensor:451732891727036416> | Baller <:baller:451733454154104842> | 14 | 9500 | 52 | 1.3 | 180 | 55 | 75 | 25
.52 Gal Deco | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/1/17/S2_Weapon_Main_.52_Gal_Deco.png/32px-S2_Weapon_Main_.52_Gal_Deco.png | Shooter | Curling Bomb <:curling:451732483688497152> | Sting Ray <:stingray:451734582258171904> | 22 | 12700 | 52 | 1.3 | 190 | 55 | 75 | 25
N-ZAP '85 | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/e/e9/S2_Weapon_Main_N-ZAP_%2785.png/64px-S2_Weapon_Main_N-ZAP_%2785.png | Shooter | Suction Bomb <:suction:451733156656316416> | Ink Armour <:armour:451733645187743775> | 9 | 7100 | 28 | 0.8 | 210 | 50 | 22 | 75
N-ZAP '89 | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/2/20/S2_Weapon_Main_N-ZAP_%2789.png/32px-S2_Weapon_Main_N-ZAP_%2789.png | Shooter | Autobomb <:auto:451732432740286464> | Tenta Missiles <:missiles:451734631775993876> | 11 | 8800 | 28 | 0.8 | 190 | 50 | 22 | 75
Splattershot Pro | https://cdn.wikimg.net/en/splatoonwiki/images/thumb/d/d1/S2_Weapon_Main_Splattershot_Pro.png/64px-S2_Weapon_Main_Splattershot_Pro.png | Shooter | Point Sensor <:pointsensor:451732891727036416> | Ink Storm <:storm:451734059991826452> | 10 | 13800 | 42 | 2 | 170 | 70 | 60 | 30
